url,Date,Title,Description,Creator
https://www.youtube.com/watch?v=IXtQcJwgqcI,"Sep 19, 2022",Who We Are: A Chronicle Of Racism In America,"On Thursday, September 8, 2022, the Rappaport Center presented Jeffery Robinson's documentary, ""Who We Are: A Chronicle of Racism In America."" Jeffery Robinson is the Founder and CEO of The Who We Are Project and the Rappaport Distinguished Visiting Professor for the 2022 Fall term.",Boston College Law School
https://www.youtube.com/watch?v=2VvtZUI0REk,"Dec 08, 2022",Just Law: Take Control of Your Law School Success,"Just Law co-hosts Tom Blakely and Jill Jacobson interview Angela Vorpahl, a law school success coach and creator and founder of the ""Law School Master Plan"", to hear her own story and answer questions about succeeding in law school, through your first exams and beyond.",Boston College Law School
https://www.youtube.com/watch?v=gHNpYvs9A90,"Jan 31, 2023",The Ana Walshe Case: Evidence of Murder?,"Just Law co-hosts Tom Blakely and Jim Fiore talk to BC Law Professor Michael Cassidy, an evidence and criminal law expert, about the disturbing case of the disappearance of Cohasset, MA resident Ana Walshe, and her husband's arrest for her murder. What does the evidence show? Can he be convicted for her murder without a body? Tune in to hear Professor Cassidy's opinion on that and much more.",Boston College Law School
https://www.youtube.com/watch?v=QiXrv-upMfM,"May 31, 2022",2022 Boston College Law School Commencement,"On May 27, 2022, BC Law welcomed graduates and their guests for our Commencement Exercises.",Boston College Law School
https://www.youtube.com/watch?v=PED36Uyal4c,"Oct 13, 2022",Crypto Explained,"Just Law co-hosts Tom Blakely and Jim Fiore welcome BC Law professor Ross Martin to the studio to discuss the world of cryptocurrency, regulation (or lack of it), and what we might expect in the future. Martin teaches several commercial law subjects, including Corporate Bankruptcy, The Law of Money (Payment Systems), Contract Drafting, and Secured Transactions. He is a retired partner of Ropes & Gray LLP, where he spent over 20 years representing clients in all aspects of bankruptcy, corporate restructuring, and commercial lending.",Boston College Law School
https://www.youtube.com/watch?v=DlQ7gM7qQNM,"Oct 02, 2023",Race and Wrongful Convictions,"On Wednesday, September 27, 2023, the Rappaport Center presented ""Race and Wrongful Convictions"" with Moderator Sharon Beckman, Associate Clinical Professor, and Director, Boston College Innocence Program; and panelists Jarrett M. Adams, Esq., Law Office of Jarrett Adams; Author, “Redeeming Justice: From Defendant to Defender, My Fight for Equity on Both Sides of a Broken System”; Hon. Geraldine Hines, Huber Distinguished Visiting Professor, Boston College Law School; 2018 Rappaport Distinguished Visiting Professor; Samuel R. Gross, Thomas and Mabel Long Professor Emeritus of Law, University of Michigan Law School; Jeffery Robinson, CEO, The Who We Are Project; 2023 Rappaport Distinguished Visiting Professor. \n\nThese distinguished panelists brought historical, empirical, judicial, and legal expertise and lived experience to bear in a conversation about race as a contributing factor in wrongful convictions and possibilities for reform.",Boston College Law School
https://www.youtube.com/watch?v=4zjbLPimFLY,"Aug 09, 2022",Dobbs Decoded,"Just Law Podcast hosts Tom Blakely and Samantha Beyar interview BC Law professor Ryan Williams about the Dobbs US Supreme Court case--breaking down the law and discussing why the justices made their decision, and the implications for future legal battles.",Boston College Law School
https://www.youtube.com/watch?v=ycwPOnq0OFI,"Nov 23, 2022","So, You Want To Be A Municipal Lawyer","On Tuesday, October 25, 2022, the Massachusetts Municipal Lawyers Association program presented, ""So, You Want To Be A Municipal Lawyer,"" hosted by the Rappaport Center for Law and Public Policy. This program discussed possible careers in municipal law with:\n\nModerator: \nJason Grossfield, City Solicitor for the City of Marlborough\n\nPanelists:\nRob Arcangeli, Assistant Corporation Counsel, City of Boston\nAntoine Fares, Associate, Norris, Murray & Peloquin, LLC\nEmily Izzo, Division of Local Services, Department of Revenue, Commonwealth of Massachusetts\nRachel Millette, Associate, Murphy Hesse Toomey & Lehane LLP.",Boston College Law School
https://www.youtube.com/watch?v=6UzGytu94NY,"Mar 23, 2023",You Belong Here: An Interview with DEIB Director Brathwaite,"Just Law Co-Host Re Cooper talks to Lisa Brathwaite, Director of Diversity, Equity, Inclusion and Belonging Programs, about her journey to BC Law, the unique community here, and why she loves her job.",Boston College Law School
https://www.youtube.com/watch?v=OLbvzfturx8,"Oct 24, 2023",Transgender Rights: State and National Developments,"On Wednesday, October 18, 2023, the Rappaport Center presented ""Transgender Rights: State and National Developments "" with Moderator John Ward, Adjunct Professor, Boston College Law School; Founder, Gay and Lesbian Advocates and Defenders (now known as GLBTQ Legal Advocates & Defenders); and panelists Shaplaie Brooks, Executive Director, Massachusetts Commission on LGBTQ+ Youth; Heron Greenesmith, Deputy Director of Policy, Transgender Law Center; Adjunct Faculty, Boston University School of Law; and Casey Pick, Director of Law and Policy, The Trevor Project.\n\nThis program explored the current state of transgender rights, including legislative, legal, and social developments.",Boston College Law School
